Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Water_Binder_Ratio,Log_Age,Cement_x_Age,SCM_Ratio,Concrete_Strength
336.0,0.0,0.0,182.0,1.3862943611198906,986.0,817.0,28,0.5416666505456355,3.367295829986474,9408.0,0.0,44.86420332
140.1,1.6486586255873816,5.379436417832829,193.9,1.7404661748405044,1049.5,710.1,28,0.5383120339169342,3.367295829986474,3922.8,0.6110494169905608,26.42
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,0.579999983428572,2.70805020110221,4900.0,0.0,22.53207568
162.0,5.003946305945459,5.25227342804663,179.0,2.995732273553991,838.0,741.0,28,0.3579999928400001,3.367295829986474,4536.0,0.676,42.08
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7,0.8044444086913596,2.079441541679836,1575.0,0.0,11.1695112
289.0,4.90527477843843,0.0,195.0,1.9459101490553128,924.0,760.0,28,0.4609928969032412,3.367295829986474,8092.0,0.3167848699763593,46.24315532
162.0,5.25227342804663,5.003946305945459,179.0,2.995732273553991,838.0,741.0,28,0.3579999928400001,3.367295829986474,4536.0,0.676,33.75674496
288.0,5.262690188904886,0.0,192.0,0.0,932.0,717.8,7,0.3999999916666669,2.079441541679836,2016.0,0.4,23.523542168
446.0,3.218875824868201,4.382026634673881,162.0,2.534490149976828,967.0,712.0,7,0.2950819618382156,2.079441541679836,3122.0,0.1876138433515482,52.00717468
475.0,0.0,4.0943445622221,142.0,1.0647107369924282,1098.0,641.0,28,0.2659175980165243,3.367295829986474,13300.0,0.1104868913857678,57.226508
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,0.6304347630299764,5.198497031265826,57960.0,0.0,29.58541516
355.0,2.995732273553991,4.584967478670572,145.0,2.648300196696436,967.0,871.0,28,0.3078556197907512,3.367295829986474,9940.0,0.2462845010615711,44.02993736
165.0,4.863680881139593,4.891100725401066,175.06,2.206074192613202,1005.8,746.6,56,0.4113251783053294,4.04305126783455,9240.0,0.612312030075188,53.72396992
181.38,0.0,5.124023501441311,169.59,2.1471001901536506,1055.6,777.8,14,0.4867820406216585,2.70805020110221,2539.32,0.4793765607508826,21.60128308
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,0.6286644746363363,4.51085950651685,27630.0,0.0,32.922479
141.3,5.3612921657094255,0.0,203.5,0.0,971.8,748.5,7,0.575997719332077,2.079441541679836,989.1,0.6000566091140673,10.3938507
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,0.7529411469434845,2.079441541679836,1785.0,0.0,10.222171176
322.0,0.0,5.010635294096256,186.0,2.19722457733622,951.0,709.0,28,0.3949044502143429,3.367295829986474,9016.0,0.316348195329087,45.42
102.0,5.0369526024136295,0.0,192.0,0.0,887.0,942.0,7,0.7529411469434845,2.079441541679836,714.0,0.6,7.675936308
213.74,0.0,5.169005630067697,154.79,2.412335956953165,1053.5,776.35,14,0.3984503604188025,2.70805020110221,2992.36,0.4498043657331136,33.72916592
290.35,0.0,4.576564928977757,168.08,2.342766882626877,961.18,865.0,56,0.4348433385547477,4.04305126783455,16259.600000000002,0.2488293276071715,45.08483564
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,0.4869109820180372,2.079441541679836,2674.0,0.0,11.46598588
202.0,2.4849066497880004,4.955827057601261,206.0,1.000631880307906,942.0,801.0,3,0.5819208875163592,1.3862943611198906,606.0,0.4293785310734463,9.84965714581204
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,0.7279999708800011,2.079441541679836,1750.0,0.0,12.73462172
190.68,0.0,4.839451481712757,162.14,2.171336806384092,1090.0,804.01,100,0.5129713834164963,4.61512051684126,19068.0,0.3967350037965071,40.56876784
250.0,0.0,4.5715099844954565,187.42,1.87640694328834,956.86,861.17,14,0.5421620370227072,2.70805020110221,3500.0,0.2768087014377043,24.91766264
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360,0.6193548187304898,5.8888779583328805,111600.0,0.0,38.11423328
277.05,0.0,4.588939172877674,160.6,2.551786178627545,973.9,875.61,14,0.428907156582973,2.70805020110221,3878.7,0.2600950753124666,41.885667
