Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Concrete_Strength,Water_Binder_Ratio,Log_Age,Cement_x_Age,SCM_Ratio
165.0,4.863680881139593,4.891100725401066,175.06,2.206074192613202,1005.8,746.6,56,53.72396992,0.41132517830532944,4.04305126783455,9240.0,0.612312030075188
140.2,3.449987545831587,5.480638923341991,169.4,1.840549633397487,1028.4,742.7,28,36.32,0.41347326303457993,3.367295829986474,3925.5999999999995,0.6577983890651696
366.0,5.236441962829949,0.0,191.0,2.0794415416798357,824.0,757.0,28,65.90701084,0.3453887821810347,3.367295829986474,10248.0,0.33815551537070526
213.5,0.0,5.166156462945698,159.21,2.5384474167160302,1043.6,771.9,3,15.60973664,0.41061019212332517,1.3862943611198906,640.5,0.4493732913808222
362.6,5.247024072160486,0.0,164.9,2.533696813957432,944.7,755.8,91,79.29663476,0.29894850799585737,4.5217885770490405,32996.6,0.3426395939086294
173.54,3.9328055446106744,5.162096646636745,164.77,2.010894999144726,1006.2,793.5,28,38.20386516,0.41491235860917713,3.367295829986474,4859.12,0.5630036261079774
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.615941924,0.5765765592619653,1.3862943611198906,999.0,0.0
228.0,5.838021949864404,0.0,185.7,0.0,955.8,674.3,28,39.699338604,0.32573232194821394,3.367295829986474,6384.0,0.6000701631292756
313.3,0.0,4.736198448394496,178.5,2.1972245773362196,1001.9,688.7,28,36.804918356,0.4187192020004879,3.367295829986474,8772.4,0.2650715458597232
289.0,4.903050083416319,0.0,194.9,1.8718021769015913,924.1,760.1,28,46.247292176,0.46108349985608,3.367295829986474,8092.0,0.31629997634255974
164.0,0.0,5.303304908059076,181.0,2.639057329615259,849.0,846.0,28,15.08573488,0.49725273359195793,3.367295829986474,4592.0,0.5494505494505495
318.8,5.363636832668679,0.0,155.7,2.72785282839839,852.1,880.4,7,33.398217439999996,0.293054765799835,2.0794415416798357,2231.6,0.39996235648409567
425.0,4.675628649636653,0.0,151.4,2.975529566236472,936.0,803.7,7,46.80163088,0.28496141003272335,2.0794415416798357,2975.0,0.2000752870318088
446.0,3.2188758248682006,4.382026634673881,162.0,2.424802725718295,967.0,712.0,56,54.765078679999995,0.29508196183821567,4.04305126783455,24976.0,0.18761384335154827
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.0621928,0.49599998677333373,2.0794415416798357,2625.0,0.0
276.0,4.51085950651685,4.762173934797756,180.0,2.302585092994046,870.0,768.0,28,44.08,0.37344397565468934,3.367295829986474,7728.0,0.42738589211618255
202.0,2.4849066497880004,4.955827057601261,206.0,1.000631880307906,942.0,801.0,7,15.069975430541358,0.5819208875163592,2.0794415416798357,1414.0,0.4293785310734463
102.0,5.0369526024136295,0.0,192.0,0.0,887.0,942.0,3,4.565020596,0.7529411469434845,1.3862943611198906,306.0,0.6
160.2,5.241747015059643,4.993149979755236,203.2,2.509599262378372,828.7,709.7,28,35.314271244,0.4108370317258991,3.367295829986474,4485.599999999999,0.6761019005256772
290.35,0.0,4.576564928977757,168.08,2.3427668826268775,961.18,865.0,100,48.97348028,0.4348433385547477,4.61512051684126,29035.000000000004,0.2488293276071715
135.0,0.0,5.117993812416755,180.0,2.3978952727983707,961.0,805.0,28,13.29309728,0.5980066246509428,3.367295829986474,3780.0,0.5514950166112956
213.74,0.0,5.169005630067697,154.79,2.412335956953165,1053.5,776.35,56,46.6430514,0.3984503604188025,4.04305126783455,11969.44,0.44980436573311366
380.0,4.564348191467836,0.0,228.0,0.0,932.0,594.0,180,40.759063216,0.4799999898947371,5.198497031265826,68400.0,0.2
198.6,4.893352133481524,0.0,192.0,0.0,978.4,825.5,28,28.021683592,0.5800604054362416,3.367295829986474,5560.8,0.4
362.6,5.247024072160486,0.0,164.9,2.533696813957432,944.7,755.8,3,35.3011712,0.29894850799585737,1.3862943611198906,1087.8000000000002,0.3426395939086294
200.0,4.897839799950911,0.0,192.0,0.0,965.4,806.2,7,17.165883972,0.5765765592619653,2.0794415416798357,1400.0,0.3993993993993994
331.0,5.14166355650266,0.0,195.0,2.1972245773362196,811.0,802.0,28,56.61287436,0.38922154911733436,3.367295829986474,9268.0,0.3393213572854291
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.763120119999996,0.6193548187304898,4.51085950651685,27900.0,0.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53207568,0.579999983428572,2.70805020110221,4900.0,0.0
162.0,5.25227342804663,5.003946305945459,179.0,2.995732273553991,838.0,741.0,28,33.75674496,0.35799999284000017,3.367295829986474,4536.0,0.676
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35047372,0.579999983428572,4.51085950651685,31500.0,0.0
149.0,5.0369526024136295,5.272999558563747,192.0,2.1972245773362196,935.0,623.0,28,24.579819399999998,0.3870967663891781,3.367295829986474,4172.0,0.6995967741935484
425.0,4.675628649636653,0.0,153.5,2.8622008809294686,852.1,887.1,56,64.30053176,0.28891397912828953,4.04305126783455,23800.0,0.2000752870318088
388.6,4.585987366571318,0.0,157.9,2.5726122302071057,852.1,925.7,7,34.90127512,0.32509779030064256,2.0794415416798357,2720.2000000000003,0.19991764463660694
137.0,5.123963979403259,5.3706380281276624,226.0,1.9459101490553132,708.0,757.0,28,34.45,0.4362934278707833,3.367295829986474,3836.0,0.7355212355212355
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.69898888,0.46749998831250034,3.367295829986474,11200.0,0.0
475.0,4.785823685681349,0.0,181.1,2.2925347571405443,852.1,781.5,56,72.29845336,0.30498483824545575,4.04305126783455,26600.0,0.20006736274840015
144.8,0.0,4.902307417210627,180.8,2.4932054526026954,979.5,811.5,28,13.202086448,0.6494252640292651,3.367295829986474,4054.4000000000005,0.47988505747126436
172.38,2.681706225762608,5.155428038997797,156.76,1.6370530794670737,1006.3,856.4,100,37.6798634,0.43743720176813256,4.61512051684126,17238.0,0.5189753320683113
153.0,4.983606621708336,4.736198448394496,178.0,2.1972245773362196,867.0,824.0,28,26.22766704,0.4330900137934304,3.367295829986474,4284.0,0.6277372262773723
284.0,2.772588722239781,4.955827057601261,179.0,1.8656293177945105,842.0,801.0,56,44.520450284729314,0.4068181725723143,4.04305126783455,15904.0,0.35454545454545455
446.0,3.2188758248682006,4.382026634673881,162.0,2.5368663887187113,967.0,712.0,7,39.300132,0.29508196183821567,2.0794415416798357,3122.0,0.18761384335154827
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.467284879999999,0.8220338634731413,1.3862943611198906,708.0,0.0
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84000168,0.5457226977662921,3.367295829986474,9492.0,0.0
141.3,5.3612921657094255,0.0,203.5,0.0,971.8,748.5,90,39.6621069,0.575997719332077,4.51085950651685,12717.000000000002,0.6000566091140673
178.03,4.873669439023098,4.784152841516532,179.94,1.5195132049061133,1007.3,746.8,100,49.99390476,0.42196842572125726,4.61512051684126,17803.0,0.5825106113547358
250.0,0.0,4.5715099844954565,187.42,1.8764069432883397,956.86,861.17,14,24.91766264,0.5421620370227072,2.70805020110221,3500.0,0.2768087014377043
158.0,0.0,5.278114659230518,220.0,2.4849066497880004,898.0,713.0,28,8.53571288,0.6232294441011489,3.367295829986474,4424.0,0.5524079320113314
303.6,4.948050418904635,0.0,213.5,1.9740810260220096,895.5,722.5,28,33.419591196,0.48139795983319145,3.367295829986474,8500.800000000001,0.315445321307779
140.5,4.128745988939433,5.480222169845649,182.5,1.9021075263969205,1017.7,681.4,28,30.97,0.41430192022016077,3.367295829986474,3934.0,0.681044267877412
359.0,2.995732273553991,4.955827057601261,154.0,2.477378383367209,942.0,801.0,7,35.75425543054136,0.2967244644176404,2.0794415416798357,2513.0,0.30828516377649323
165.0,4.863680881139593,4.891100725401066,175.06,2.206074192613202,1005.8,746.6,3,19.41564416,0.41132517830532944,1.3862943611198906,495.0,0.612312030075188
194.68,0.0,4.620255823406132,165.62,2.1377104498038118,1006.4,905.9,14,24.986610239999997,0.5610433414280712,2.70805020110221,2725.52,0.34051490514905147
387.0,3.044522437723423,4.553876891600541,157.0,2.729159164312445,938.0,845.0,28,50.23522136,0.3133732472380589,3.367295829986474,10836.0,0.2275449101796407
275.07,0.0,4.806885789888681,159.48,2.388762789235098,1053.6,777.5,3,23.80071152,0.402300580134691,1.3862943611198906,825.21,0.3061147268049039
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.32952964,0.689530661027774,5.198497031265826,49860.0,0.0
337.9,5.247024072160486,0.0,174.9,2.3513752571634776,944.7,755.8,56,59.89478012,0.33194153858528114,4.04305126783455,18922.399999999998,0.35870184095653823
337.9,5.247024072160486,0.0,174.9,2.3513752571634776,944.7,755.8,91,67.79617508,0.33194153858528114,4.5217885770490405,30748.899999999998,0.35870184095653823
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.7853632,0.7795275283650579,5.902633333401366,92710.0,0.0
190.34,0.0,4.837709458942664,166.61,2.3869262414277967,1079.0,798.9,100,33.56369168,0.5280489183554476,4.61512051684126,19034.0,0.39674188640973634
475.0,4.785823685681349,0.0,181.1,2.2925347571405443,852.1,781.5,3,37.79707432,0.30498483824545575,1.3862943611198906,1425.0,0.20006736274840015
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.846616696,0.48854960588932306,4.51085950651685,35370.0,0.0
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28,26.848195439999998,0.6133333128888896,3.367295829986474,8400.0,0.0
425.0,4.675628649636653,0.0,153.5,2.8622008809294686,852.1,887.1,28,60.2946762,0.28891397912828953,3.367295829986474,11900.0,0.2000752870318088
151.8,5.187944309066666,4.939497266262916,167.5,2.9601050959108397,944.0,694.6,28,36.349864196,0.35744770897465417,3.367295829986474,4250.400000000001,0.676056338028169
181.38,0.0,5.124023501441311,169.59,2.1471001901536506,1055.6,777.8,100,45.3675208,0.48678204062165853,4.61512051684126,18138.0,0.47937656075088264
475.0,0.0,0.0,162.0,2.3513752571634776,1044.0,662.0,28,58.522722879999996,0.3410526243988921,3.367295829986474,13300.0,0.0
323.7,5.648269764725942,0.0,183.8,2.424802725718295,942.7,659.9,3,28.296095039999997,0.3030502835441009,1.3862943611198906,971.0999999999999,0.4662819455894477
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180,51.04190828,0.3999999920000002,5.198497031265826,90000.0,0.0
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.082437432,0.4677581746156631,3.367295829986474,11116.0,0.0
122.6,5.219815138393079,0.0,203.5,0.0,958.2,800.1,7,10.354550567999999,0.6639477760539062,2.0794415416798357,858.1999999999999,0.6
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.179323768,0.5474646065016331,2.0794415416798357,2374.4,0.0
190.0,5.25227342804663,0.0,228.0,0.0,932.0,670.0,180,46.931941843999994,0.5999999842105268,5.198497031265826,34200.0,0.5
198.6,4.893352133481524,0.0,192.0,0.0,978.4,825.5,180,41.719503284,0.5800604054362416,5.198497031265826,35748.0,0.4
233.81,0.0,4.559963593150012,197.89,1.7168563092013707,947.04,852.16,100,34.55653712,0.6026066383688103,4.61512051684126,23381.0,0.28801120618776455
167.0,4.335982696172475,5.123963979403259,164.03,2.187174241482718,1007.3,770.1,28,41.40992856,0.40065949192331485,3.367295829986474,4676.0,0.5920859794821691
469.0,4.772378104971998,0.0,137.8,3.502549875922443,852.1,840.5,28,66.89985628,0.23507334979404043,3.367295829986474,13132.0,0.19993176390310474
297.1,3.735285826928092,5.484381909620826,194.0,2.1400661634962708,908.9,651.8,28,49.17,0.335698211875788,3.367295829986474,8318.800000000001,0.4858972140508739
143.7,5.1428324637076415,4.894850261102546,191.6,2.2512917986064953,814.1,805.3,28,29.870858223999996,0.429115331934707,3.367295829986474,4023.5999999999995,0.6781634938409853
379.5,5.025195445427586,0.0,153.9,2.827313621929028,1134.3,605.0,7,47.09810556,0.28999434162437643,2.0794415416798357,2656.5,0.2849067269643866
520.0,0.0,0.0,170.0,1.8245492920510458,855.0,855.0,28,60.280886679999995,0.3269230706360948,3.367295829986474,14560.0,0.0
158.8,5.477300022076476,0.0,185.7,0.0,1040.6,734.3,28,21.066249704,0.4677581746156631,3.367295829986474,4446.400000000001,0.6
132.0,5.335131339670753,5.0869788606835895,178.9,1.8718021769015913,866.9,735.6,28,33.306517131999996,0.35822986867781603,3.367295829986474,3696.0,0.7356828193832599
214.9,4.00369019395397,4.811289646296506,155.63,2.361796952625892,1014.3,780.58,14,38.60376124,0.39844849078449296,2.70805020110221,3008.6,0.4498067026805602
238.05,0.0,4.555034116494294,186.66,2.0794415416798357,949.91,847.01,56,39.58971192,0.5619580755672544,4.04305126783455,13330.800000000001,0.2833273121387283
362.6,5.247024072160486,0.0,164.9,2.533696813957432,944.7,755.8,56,77.29715436,0.29894850799585737,4.04305126783455,20305.600000000002,0.3426395939086294
213.5,0.0,5.166156462945698,159.21,2.5384474167160302,1043.6,771.9,28,44.63667624,0.41061019212332517,3.367295829986474,5978.0,0.4493732913808222
320.0,0.0,5.099866427824199,188.0,2.302585092994046,866.0,776.0,28,45.69,0.38923394639267195,3.367295829986474,8960.0,0.33747412008281574
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.17966352,0.6304347630299764,3.367295829986474,9016.0,0.0
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.17966352,0.6283783571493798,3.367295829986474,8288.0,0.0
159.0,0.0,5.517452896464707,175.0,2.5649493574615367,1041.0,683.0,28,35.39,0.4299754194109234,3.367295829986474,4452.0,0.6093366093366094
194.68,0.0,4.620255823406132,170.17,2.1377104498038118,998.0,901.8,3,12.17614616,0.5764566200387324,1.3862943611198906,584.04,0.34051490514905147
277.0,4.768988271217486,4.5217885770490405,190.6,2.0794415416798357,946.5,665.6,28,43.57833058,0.3931518070719512,3.367295829986474,7756.0,0.42863036303630364
229.97,0.0,4.781725147887709,195.47,1.728109442151599,1029.4,758.59,3,10.0318758,0.5612438106912884,1.3862943611198906,689.91,0.33969794418284144
213.76,4.595725727160092,3.239462458476589,181.74,2.0347056478384444,1066.0,785.52,28,40.2309246,0.5403460623076036,3.367295829986474,5985.28,0.36445263721234467
446.0,3.2188758248682006,4.382026634673881,162.0,2.5368663887187113,967.0,712.0,56,55.25460664,0.29508196183821567,4.04305126783455,24976.0,0.18761384335154827
145.4,0.0,5.192401140956488,201.7,2.174751721484161,824.0,868.7,28,10.535882756,0.621954960778447,3.367295829986474,4071.2000000000003,0.551649707061363
229.97,0.0,4.781725147887709,195.47,1.728109442151599,1029.4,758.59,28,24.483292759999998,0.5612438106912884,3.367295829986474,6439.16,0.33969794418284144
214.9,4.00369019395397,4.811289646296506,155.63,2.361796952625892,1014.3,780.58,28,52.20022796,0.39844849078449296,3.367295829986474,6017.2,0.4498067026805602
439.0,5.181783550292085,0.0,186.0,2.4932054526026954,884.9,707.9,28,65.99664272,0.30194804704629796,3.367295829986474,12292.0,0.28733766233766234
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7,14.2032056,0.6654545212561993,2.0794415416798357,1925.0,0.0
170.3,5.0530560099802075,0.0,185.7,0.0,1026.6,724.3,7,10.730314988,0.5699815662989083,2.0794415416798357,1192.1000000000001,0.4772866789441375
183.9,4.817050545023591,0.0,203.5,0.0,959.2,800.0,28,24.046164976,0.6639477760539062,3.367295829986474,5149.2,0.39999999999999997
150.0,5.472270673671475,0.0,174.0,2.5649493574615367,1069.0,675.0,28,37.431652039999996,0.44961239148288396,3.367295829986474,4200.0,0.6124031007751938
362.6,5.247024072160486,0.0,164.9,2.533696813957432,944.7,755.8,91,79.29663476,0.29894850799585737,4.5217885770490405,32996.6,0.3426395939086294
298.0,0.0,4.68213122712422,186.0,1.9459101490553132,879.0,815.0,28,42.63719584,0.45925924791952477,3.367295829986474,8344.0,0.2641975308641975
166.09,0.0,5.101511415553109,176.46,1.7029282555214393,1058.6,780.09,3,10.76272036,0.5357663184428493,1.3862943611198906,498.27,0.4957189701238766
156.0,5.497168225293202,0.0,180.0,2.4849066497880004,1022.0,698.0,28,37.36270444,0.45112780824241083,3.367295829986474,4368.0,0.6090225563909775
166.8,5.526249434594043,0.0,203.5,0.0,975.6,692.6,7,15.748321315999998,0.4880095806232715,2.0794415416798357,1167.6000000000001,0.6
200.0,4.897839799950911,0.0,192.0,0.0,965.4,806.2,3,11.414275179999999,0.5765765592619653,1.3862943611198906,600.0,0.3993993993993994
287.3,4.799914262780603,4.552823705615882,187.6,2.322387720290225,904.4,695.9,28,43.798273423999994,0.3739286351618769,3.367295829986474,8044.400000000001,0.4273470201315527
313.3,4.983606621708336,0.0,178.5,2.1972245773362196,1001.9,688.7,28,41.053469468,0.38948286298313634,3.367295829986474,8772.4,0.31638664630154917
237.5,5.474369310328396,0.0,228.0,0.0,932.0,594.0,180,36.251958603999995,0.4799999898947371,5.198497031265826,42750.0,0.5
424.0,3.1354942159291497,4.890349128221754,168.0,2.2945529212967815,822.0,750.0,3,32.109882284729316,0.2906574344176915,1.3862943611198906,1272.0,0.2664359861591695
220.8,4.998562712861986,0.0,185.7,0.0,1055.0,744.3,7,13.089012384,0.5046195515049035,2.0794415416798357,1545.6000000000001,0.39999999999999997
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.86640156,0.6193548187304898,1.3862943611198906,930.0,0.0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.204074924,0.7529411469434845,1.3862943611198906,765.0,0.0
266.0,4.74493212836325,0.0,228.0,0.0,932.0,670.0,180,48.695621452,0.5999999842105268,5.198497031265826,47880.0,0.3
318.0,0.0,4.844187086458591,210.0,1.9459101490553132,861.0,737.0,28,40.0585556,0.4729729623204288,3.367295829986474,8904.0,0.28378378378378377
313.3,5.572914199451162,0.0,175.5,2.2617630984737906,1046.9,611.8,7,42.79577532,0.3049522101659043,2.0794415416798357,2193.1,0.4556038227628149
296.0,0.0,4.679349584162343,221.4,2.4423470353692043,819.2,778.4,28,31.420110796000003,0.5497889111053164,3.367295829986474,8288.0,0.2649615098087907
193.5,5.674010316322531,0.0,185.7,0.0,998.2,704.3,28,32.626693796000005,0.3839156422593417,3.367295829986474,5418.0,0.5999586520570601
305.3,5.320567975482857,0.0,203.5,0.0,965.4,631.0,28,43.377003588,0.39996068396303686,3.367295829986474,8548.4,0.3999606918238994
173.0,4.762173934797756,0.0,192.0,0.0,946.8,856.8,7,11.392211948,0.6643598386034658,2.0794415416798357,1211.0,0.4013840830449827
152.7,4.981549713201159,0.0,178.1,2.1972245773362196,999.7,822.2,28,19.009542795999998,0.598856738437904,3.367295829986474,4275.599999999999,0.48655010087424344
212.0,4.957937505095806,0.0,203.5,0.0,973.4,750.0,28,33.003837168,0.575997719332077,3.367295829986474,5936.0,0.39994339088593267
144.0,2.772588722239781,5.278114659230518,176.0,1.9459101490553132,1021.0,709.0,28,15.340841,0.49717512719844276,3.367295829986474,4032.0,0.5932203389830508
251.37,0.0,4.7813898305905775,188.45,1.9947003132247452,1028.4,757.73,56,36.63875464,0.5098203519689333,4.04305126783455,14076.720000000001,0.31995996104317714
213.5,0.0,5.166156462945698,154.61,2.5384474167160302,1052.3,775.48,100,59.30183076,0.39874657247777967,4.61512051684126,21350.0,0.4493732913808222
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.680203152,0.5765765592619653,4.51085950651685,29970.0,0.0
297.8,4.92870191133357,4.681204872264089,201.3,1.9459101490553132,878.4,655.3,28,53.524711356,0.3714707442061129,3.367295829986474,8338.4,0.45045211293596604
348.7,0.09531017980432487,5.4120923808068815,208.5,2.3608540011180215,786.2,758.1,28,48.77,0.36457421988854316,3.367295829986474,9763.6,0.3902780206329778
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.30664712,0.3203703644375859,3.367295829986474,15120.0,0.0
318.8,5.363636832668679,0.0,155.7,2.72785282839839,852.1,880.4,56,66.10006412,0.293054765799835,4.04305126783455,17852.8,0.39996235648409567
251.81,0.0,4.614526280912116,146.14,2.5915163848462583,1006.0,899.76,3,21.02212324,0.4154655176839938,1.3862943611198906,755.4300000000001,0.28412224591329066
162.0,5.003946305945459,5.2574953720277815,179.0,2.833213344056216,840.0,743.0,28,41.81,0.357285422010271,3.367295829986474,4536.0,0.6766467065868264
446.0,3.2188758248682006,4.382026634673881,162.0,2.5368663887187113,967.0,712.0,56,56.14403068,0.29508196183821567,4.04305126783455,24976.0,0.18761384335154827
531.3,0.0,0.0,141.8,3.374168709274236,852.1,893.7,56,58.798513279999995,0.26689252273870656,4.04305126783455,29752.799999999996,0.0
213.74,0.0,5.169005630067697,154.79,2.412335956953165,1053.5,776.35,100,50.07664188,0.3984503604188025,4.61512051684126,21374.0,0.44980436573311366
251.37,0.0,4.7813898305905775,188.45,1.9095425048844383,1028.4,757.73,28,29.654362759999998,0.5098203519689333,3.367295829986474,7038.360000000001,0.31995996104317714
284.0,2.772588722239781,4.955827057601261,179.0,1.8656293177945105,842.0,801.0,3,13.395533715270679,0.4068181725723143,1.3862943611198906,852.0,0.35454545454545455
255.5,5.143416405330075,0.0,185.7,0.0,1026.6,724.3,28,32.051670812,0.4361202340037521,3.367295829986474,7154.0,0.3999530295913575
326.0,5.117993812416755,0.0,174.0,2.302585092994046,882.0,790.0,28,61.232363559999996,0.3536585293971844,3.367295829986474,9128.0,0.33739837398373984
213.5,0.0,5.166156462945698,154.61,2.5384474167160302,1052.3,775.48,14,33.70158688,0.39874657247777967,2.70805020110221,2989.0,0.4493732913808222
