iter	Passed	Remaining
0	5	509
1	10	495
2	13	451
3	18	440
4	22	421
5	25	403
6	28	385
7	32	369
8	35	355
9	37	341
10	40	325
11	43	315
12	45	307
13	48	296
14	50	288
15	53	280
16	56	275
17	59	270
18	61	263
19	64	257
20	67	253
21	69	247
22	72	242
23	75	237
24	77	233
25	80	230
26	83	225
27	85	220
28	88	216
29	90	211
30	93	207
31	95	203
32	98	199
33	100	195
34	104	193
35	106	189
36	109	185
37	111	182
38	114	179
39	117	176
40	120	174
41	123	171
42	126	167
43	129	164
44	132	161
45	134	158
46	138	155
47	140	152
48	143	149
49	146	146
50	149	143
51	152	140
52	155	137
53	157	134
54	160	131
55	162	127
56	165	124
57	168	121
58	170	118
59	173	115
60	176	112
61	178	109
62	180	106
63	183	103
64	186	100
65	189	97
66	191	94
67	194	91
68	197	88
69	200	85
70	202	82
71	204	79
72	206	76
73	208	73
74	211	70
75	214	67
76	216	64
77	219	61
78	222	59
79	225	56
80	228	53
81	230	50
82	233	47
83	236	45
84	239	42
85	241	39
86	244	36
87	246	33
88	249	30
89	251	27
90	254	25
91	256	22
92	259	19
93	261	16
94	264	13
95	266	11
96	269	8
97	272	5
98	274	2
99	277	0
